Image,Depth,ColorSpace,Size,FuzzErrorMetric,MeanSquareErrorMetric,PeakSignalToRatioErrorMetric,PerceptualErrorMetric,
pictures\2.hdr,12,YCbC,14155776,0.000134,0.000000,77.453748,0.135303,
pictures\2.hdr,4,HCL,4718592,0.022405,0.000502,32.993285,0.404675,
pictures\2.hdr,6,HCL,7077888,0.005358,0.000029,45.419272,0.000643,
pictures\2.hdr,8,HCL,9437184,0.001321,0.000002,57.583178,0.000014,
pictures\2.hdr,10,HCL,11796480,0.000320,0.000000,69.908619,0.000001,
pictures\2.hdr,12,HCL,14155776,0.000081,0.000000,81.853667,0.000001,
pictures\2.hdr,4,Lab,4718592,0.038962,0.001518,28.187071,9.446907,
pictures\2.hdr,6,Lab,7077888,0.008227,0.000068,41.695579,2.753379,
pictures\2.hdr,8,Lab,9437184,0.002064,0.000004,53.705207,3.142432,
pictures\2.hdr,10,Lab,11796480,0.000514,0.000000,65.774557,4.251368,
pictures\2.hdr,12,Lab,14155776,0.000129,0.000000,77.774756,6.651071,
pictures\2.hdr,4,Luv,4718592,0.027179,0.000739,31.315475,64.287474,
pictures\2.hdr,6,Luv,7077888,0.007699,0.000059,42.271400,0.222038,
pictures\2.hdr,8,Luv,9437184,0.001884,0.000004,54.496830,3.988672,
pictures\2.hdr,10,Luv,11796480,0.000490,0.000000,66.194495,0.772566,
pictures\2.hdr,12,Luv,14155776,0.000117,0.000000,78.608379,1.698256,
pictures\2.hdr,4,RGB,4718592,0.019281,0.000372,34.297514,1.867062,
pictures\2.hdr,6,RGB,7077888,0.004502,0.000020,46.931483,0.245808,
pictures\2.hdr,8,RGB,9437184,0.001118,0.000001,59.032755,0.002793,
pictures\2.hdr,10,RGB,11796480,0.000264,0.000000,71.570071,0.000427,
pictures\2.hdr,12,RGB,14155776,0.000053,0.000000,85.466411,0.000008,
pictures\2.hdr,4,sRGB,4718592,0.018487,0.000342,34.662558,0.057243,
pictures\2.hdr,6,sRGB,7077888,0.004429,0.000020,47.073495,0.000988,
pictures\2.hdr,8,sRGB,9437184,0.001104,0.000001,59.142589,0.000587,
pictures\2.hdr,10,sRGB,11796480,0.000287,0.000000,70.831033,0.000118,
pictures\2.hdr,12,sRGB,14155776,0.000071,0.000000,83.011958,0.000002,
pictures\2.hdr,4,XYZ,4718592,0.040971,0.001679,27.750534,13.913941,
pictures\2.hdr,6,XYZ,7077888,0.015155,0.000230,36.389146,0.296805,
pictures\2.hdr,8,XYZ,9437184,0.010904,0.000119,39.248160,0.164038,
pictures\2.hdr,10,XYZ,11796480,0.010565,0.000112,39.522801,0.176617,
pictures\2.hdr,12,XYZ,14155776,0.010545,0.000111,39.539408,0.179955,
pictures\2.hdr,4,YCC,4718592,0.077428,0.005995,22.222062,11.237729,
pictures\2.hdr,6,YCC,7077888,0.069055,0.004769,23.216138,11.433010,
pictures\2.hdr,8,YCC,9437184,0.068656,0.004714,23.266389,11.114143,
pictures\2.hdr,10,YCC,11796480,0.068632,0.004710,23.269468,11.023475,
pictures\2.hdr,12,YCC,14155776,0.068631,0.004710,23.269589,11.003739,
pictures\2.hdr,4,YPbPr,4718592,0.031461,0.000990,30.044433,10.127991,
pictures\2.hdr,6,YPbPr,7077888,0.008240,0.000068,41.681350,0.134323,
pictures\2.hdr,8,YPbPr,9437184,0.002041,0.000004,53.804916,0.075214,
pictures\2.hdr,10,YPbPr,11796480,0.000512,0.000000,65.814202,0.111917,
pictures\2.hdr,12,YPbPr,14155776,0.000134,0.000000,77.453748,0.135303,
pictures\2.hdr,4,YUV,4718592,0.028218,0.000796,30.989600,17.118479,
pictures\2.hdr,6,YUV,7077888,0.007592,0.000058,42.393063,2.835370,
pictures\2.hdr,8,YUV,9437184,0.001883,0.000004,54.504777,7.868700,
