Image;Depth;ColorSpace;Size;RGBFuzzErrorMetric;RGBMeanSquareErrorMetric;RGBPeakSignalToRatioErrorMetric;RGBPerceptualErrorMetric;LABFuzzErrorMetric;LABMeanSquareErrorMetric;LABPeakSignalToRatioErrorMetric;LABPerceptualErrorMetric;
2.hdr;4;HCL;4718592;0.042193;0.001780;27.495253;11.987912;0.024771;0.000614;32.121091;16.113645;
2.hdr;6;HCL;7077888;0.042272;0.001787;27.478944;16.555230;0.024887;0.000619;32.080589;14.102281;
2.hdr;8;HCL;9437184;0.042570;0.001812;27.417849;15.435889;0.024994;0.000625;32.043180;13.823093;
2.hdr;10;HCL;11796480;0.042642;0.001818;27.403232;15.643401;0.025037;0.000627;32.028372;18.171437;
2.hdr;4;Lab;4718592;0.055658;0.003098;25.089434;26.052246;0.032841;0.001079;29.671683;33.378176;
2.hdr;6;Lab;7077888;0.061418;0.003772;24.234105;38.584714;0.035349;0.001250;29.032521;45.019986;
2.hdr;8;Lab;9437184;0.063154;0.003988;23.991965;42.206085;0.036038;0.001299;28.864728;47.059624;
2.hdr;10;Lab;11796480;0.063585;0.004043;23.932941;43.146697;0.036212;0.001311;28.822885;47.520993;
2.hdr;4;Luv;4718592;0.077160;0.005954;22.252192;10.598119;0.038160;0.001456;28.367823;11.545872;
2.hdr;6;Luv;7077888;0.074223;0.005509;22.589246;6.440162;0.037616;0.001415;28.492516;9.045393;
2.hdr;8;Luv;9437184;0.074105;0.005492;22.603018;6.449850;0.037574;0.001412;28.502281;8.889883;
2.hdr;10;Luv;11796480;0.074023;0.005479;22.612692;6.422650;0.037567;0.001411;28.503817;8.847235;
2.hdr;4;RGB;4718592;0.079033;0.006246;22.043779;27.189570;0.050640;0.002564;25.910053;30.612973;
2.hdr;6;RGB;7077888;0.079099;0.006257;22.036567;37.008918;0.051100;0.002611;25.831615;40.616362;
2.hdr;8;RGB;9437184;0.079151;0.006265;22.030923;41.547627;0.051247;0.002626;25.806609;44.449613;
2.hdr;10;RGB;11796480;0.079165;0.006267;22.029313;43.075900;0.051286;0.002630;25.800088;45.602225;
2.hdr;4;sRGB;4718592;0.084027;0.007061;21.511625;36.827791;0.052818;0.002790;25.544392;41.377649;
2.hdr;6;sRGB;7077888;0.083192;0.006921;21.598411;36.944032;0.052490;0.002755;25.598464;41.581954;
2.hdr;8;sRGB;9437184;0.083028;0.006894;21.615505;37.028035;0.052440;0.002750;25.606778;44.929918;
2.hdr;10;sRGB;11796480;0.082990;0.006887;21.619454;37.045248;0.052431;0.002749;25.608228;41.713980;
