Image;Depth;ColorSpace;Size;RGBFuzzErrorMetric;RGBMeanSquareErrorMetric;RGBPeakSignalToRatioErrorMetric;RGBPerceptualErrorMetric;LABFuzzErrorMetric;LABMeanSquareErrorMetric;LABPeakSignalToRatioErrorMetric;LABPerceptualErrorMetric;
6.hdr;8;HCL;2076672;0.035973;0.001294;28.880510;169.868260;0.031520;0.000993;30.028327;173.986562;
6.hdr;10;HCL;2595840;0.035961;0.001293;28.883432;169.631844;0.031487;0.000991;30.037351;173.567647;
6.hdr;4;Lab;1038336;0.045560;0.002076;26.828234;214.824315;0.032193;0.001036;29.844674;206.317476;
6.hdr;6;Lab;1557504;0.049876;0.002488;26.042198;221.693863;0.036599;0.001340;28.730516;240.533296;
6.hdr;8;Lab;2076672;0.051634;0.002666;25.741357;240.267303;0.037692;0.001421;28.474951;248.829182;
6.hdr;10;Lab;2595840;0.052074;0.002712;25.667573;248.583082;0.037963;0.001441;28.412877;250.891000;
6.hdr;4;Luv;1038336;0.065167;0.004247;23.719491;159.191271;0.040032;0.001603;27.951953;163.083247;
6.hdr;6;Luv;1557504;0.062484;0.003904;24.084651;142.484898;0.040574;0.001646;27.835009;147.761736;
6.hdr;8;Luv;2076672;0.063345;0.004013;23.965740;145.232887;0.040832;0.001667;27.779924;148.834158;
6.hdr;10;Luv;2595840;0.063376;0.004016;23.961526;145.753615;0.040903;0.001673;27.764915;149.318119;
6.hdr;4;RGB;1038336;0.071158;0.005063;22.955551;209.828861;0.079022;0.006244;22.045041;227.095580;
6.hdr;6;RGB;1557504;0.072133;0.005203;22.837262;215.646573;0.078694;0.006193;22.081202;236.301190;
6.hdr;8;RGB;2076672;0.072385;0.005240;22.807031;216.852317;0.078635;0.006184;22.087651;243.749959;
6.hdr;10;RGB;2595840;0.072448;0.005249;22.799496;218.192073;0.078621;0.006181;22.089177;240.535149;
6.hdr;4;sRGB;1038336;0.062906;0.003957;24.026175;211.975431;0.078078;0.006096;22.149432;231.762712;
6.hdr;6;sRGB;1557504;0.061826;0.003822;24.176589;205.524415;0.078038;0.006090;22.153832;224.982018;
6.hdr;8;sRGB;2076672;0.061587;0.003793;24.210154;204.126635;0.078035;0.006090;22.154169;221.122501;
6.hdr;10;sRGB;2595840;0.061530;0.003786;24.218256;203.799787;0.078038;0.006090;22.153874;222.408834;
6.hdr;4;XYZ;1038336;0.073621;0.005420;22.660002;183.392905;0.090172;0.008131;20.898559;175.230535;
6.hdr;6;XYZ;1557504;0.072875;0.005311;22.748414;165.281338;0.088742;0.007875;21.037380;177.772013;
6.hdr;8;XYZ;2076672;0.072530;0.005261;22.789653;166.243563;0.088867;0.007897;21.025190;177.717699;
6.hdr;10;XYZ;2595840;0.072435;0.005247;22.800987;166.072606;0.088739;0.007875;21.037754;177.359286;
6.hdr;4;YCC;1038336;0.123145;0.015165;18.191692;208.652674;0.110102;0.012122;19.164082;209.896555;
6.hdr;6;YCC;1557504;0.212565;0.045184;13.450170;269.198806;0.142597;0.020334;16.917820;237.533981;
6.hdr;8;YCC;2076672;0.294775;0.086893;10.610175;300.701542;0.169508;0.028733;15.416204;270.291856;
6.hdr;10;YCC;2595840;0.345675;0.119491;9.226647;316.151266;0.190323;0.036223;14.410159;280.618536;
6.hdr;4;YPbPr;1038336;0.337482;0.113894;9.434986;311.000409;0.189824;0.036033;14.432978;283.277178;
6.hdr;6;YPbPr;1557504;0.336867;0.113479;9.450842;315.022257;0.189454;0.035893;14.449919;283.478004;
6.hdr;8;YPbPr;2076672;0.335621;0.112641;9.483025;328.340337;0.189198;0.035796;14.461647;286.893841;
6.hdr;10;YPbPr;2595840;0.335574;0.112610;9.484235;329.573238;0.189192;0.035794;14.461941;286.632168;
6.hdr;4;YUV;1038336;0.313534;0.098303;10.074314;294.610705;0.183648;0.033727;14.720278;273.233737;
6.hdr;6;YUV;1557504;0.309690;0.095908;10.181444;324.556207;0.182230;0.033208;14.787617;280.900561;
6.hdr;8;YUV;2076672;0.308892;0.095414;10.203874;296.450806;0.182012;0.033128;14.798017;275.114244;
6.hdr;10;YUV;2595840;0.308779;0.095344;10.207044;299.358935;0.181959;0.033109;14.800547;277.524147;
7.hdr;32;RGB(A);26916101;;;;;;;;;
7.hdr;4;CMYK;16588800;0.020663;0.000427;33.696242;0.092245;0.010716;0.000115;39.399125;0.018618;
7.hdr;6;CMYK;24883200;0.021716;0.000472;33.264437;0.094128;0.011259;0.000127;38.970191;0.025225;
7.hdr;8;CMYK;33177600;0.022117;0.000489;33.105529;0.100381;0.011469;0.000132;38.809635;0.029290;
7.hdr;10;CMYK;41472000;0.022224;0.000494;33.063682;0.101333;0.011524;0.000133;38.767726;0.030248;
7.hdr;4;YCbC;12441600;0.051812;0.002684;25.711447;7.068191;0.022049;0.000486;33.132026;4.754788;
7.hdr;6;YCbC;18662400;0.052628;0.002770;25.575658;9.556317;0.023500;0.000552;32.578678;7.630330;
7.hdr;8;YCbC;24883200;0.053969;0.002913;25.357092;10.676400;0.023979;0.000575;32.403547;8.620853;
7.hdr;10;YCbC;31104000;0.054355;0.002954;25.295190;10.944670;0.024084;0.000580;32.365442;8.678172;
7.hdr;4;HCL;12441600;0.054504;0.002971;25.271364;11.097733;0.026272;0.000690;31.610254;7.592578;
7.hdr;6;HCL;18662400;0.052321;0.002737;25.626488;9.693500;0.026166;0.000685;31.645362;5.928732;
7.hdr;8;HCL;24883200;0.052538;0.002760;25.590532;9.597318;0.026181;0.000685;31.640312;5.683520;
7.hdr;10;HCL;31104000;0.052602;0.002767;25.579946;9.649218;0.026194;0.000686;31.636109;5.626239;
7.hdr;4;Lab;12441600;0.074295;0.005520;22.580832;11.856367;0.033936;0.001152;29.386910;24.573711;
7.hdr;6;Lab;18662400;0.079262;0.006283;22.018675;11.449947;0.037123;0.001378;28.607223;36.712139;
7.hdr;8;Lab;24883200;0.081261;0.006603;21.802304;12.549095;0.037941;0.001439;28.417937;39.799224;
7.hdr;10;Lab;31104000;0.081790;0.006690;21.745996;12.804141;0.038144;0.001455;28.371417;40.592114;
7.hdr;4;Luv;12441600;0.101720;0.010347;19.851877;25.671462;0.038974;0.001519;28.184581;20.905357;
7.hdr;6;Luv;18662400;0.096969;0.009403;20.267369;15.907518;0.038385;0.001473;28.316738;14.404973;
7.hdr;8;Luv;24883200;0.097686;0.009542;20.203397;16.762973;0.038385;0.001473;28.316838;14.221303;
7.hdr;10;Luv;31104000;0.097632;0.009532;20.208157;16.835254;0.038385;0.001473;28.316777;14.228767;
7.hdr;4;RGB;12441600;0.106807;0.011408;19.428045;15.941798;0.049687;0.002469;26.075104;15.554814;
7.hdr;6;RGB;18662400;0.108443;0.011760;19.295970;16.344489;0.049954;0.002495;26.028641;16.044323;
7.hdr;8;RGB;24883200;0.108849;0.011848;19.263549;16.449694;0.050043;0.002504;26.013131;16.166116;
7.hdr;10;RGB;31104000;0.108949;0.011870;19.255537;16.475922;0.050066;0.002507;26.009105;16.188427;
7.hdr;4;sRGB;12441600;0.094897;0.009005;20.454943;12.318102;0.049748;0.002475;26.064448;10.992643;
7.hdr;6;sRGB;18662400;0.093344;0.008713;20.598310;11.482544;0.049318;0.002432;26.139953;10.052436;
7.hdr;8;sRGB;24883200;0.093015;0.008652;20.628931;11.293381;0.049234;0.002424;26.154716;10.123803;
7.hdr;10;sRGB;31104000;0.092937;0.008637;20.636221;11.247646;0.049215;0.002422;26.158067;9.789401;
7.hdr;4;XYZ;12441600;0.103858;0.010786;19.671231;27.808399;0.062152;0.003863;24.130829;55.696076;
7.hdr;6;XYZ;18662400;0.101012;0.010203;19.912543;34.030286;0.061770;0.003816;24.184428;61.393566;
7.hdr;8;XYZ;24883200;0.100348;0.010070;19.969803;32.820110;0.061705;0.003808;24.193542;64.941267;
7.hdr;10;XYZ;31104000;0.100192;0.010038;19.983319;32.471256;0.061674;0.003804;24.197929;64.487477;
7.hdr;4;YCC;12441600;0.174983;0.030619;15.140068;36.564689;0.087352;0.007630;21.174501;62.566623;
7.hdr;6;YCC;18662400;0.259363;0.067269;11.721841;57.157327;0.117563;0.013821;18.594623;65.144505;
7.hdr;8;YCC;24883200;0.340700;0.116076;9.352565;64.974979;0.147830;0.021854;16.604742;71.396853;
7.hdr;10;YCC;31104000;0.376376;0.141659;8.487558;77.438405;0.166198;0.027622;15.587494;88.645638;
7.hdr;4;YPbPr;12441600;0.365890;0.133875;8.732992;92.241861;0.163931;0.026874;15.706754;75.037981;
7.hdr;6;YPbPr;18662400;0.363712;0.132287;8.784836;74.929588;0.162831;0.026514;15.765277;78.199245;
7.hdr;8;YPbPr;24883200;0.363115;0.131852;8.799126;88.478300;0.162541;0.026419;15.780764;75.463521;
7.hdr;10;YPbPr;31104000;0.362960;0.131740;8.802821;92.453907;0.162492;0.026404;15.783341;75.263741;
7.hdr;4;YUV;12441600;0.356777;0.127290;8.952066;82.216399;0.160540;0.025773;15.888338;74.806777;
7.hdr;6;YUV;18662400;0.355845;0.126625;8.974789;84.337545;0.159971;0.025591;15.919188;75.467456;
7.hdr;8;YUV;24883200;0.355151;0.126133;8.991730;77.140343;0.159817;0.025542;15.927515;79.248386;
7.hdr;10;YUV;31104000;0.355198;0.126166;8.990590;83.308415;0.159806;0.025538;15.928148;75.776118;
Apartment.hdr;32;RGB(A);5591117;;;;;;;;;
Apartment.hdr;4;CMYK;2795520;0.013178;0.000174;37.603084;2.408197;0.010209;0.000104;39.820220;4.231309;
Apartment.hdr;6;CMYK;4193280;0.013364;0.000179;37.481130;2.375994;0.010203;0.000104;39.825441;3.798716;
Apartment.hdr;8;CMYK;5591040;0.013495;0.000182;37.396372;2.559980;0.010266;0.000105;39.772106;3.767055;
Apartment.hdr;10;CMYK;6988800;0.013532;0.000183;37.372468;2.631692;0.010285;0.000106;39.755958;3.763983;
Apartment.hdr;4;YCbC;2096640;0.045707;0.002089;26.800307;45.618671;0.022952;0.000527;32.783483;37.960018;
Apartment.hdr;6;YCbC;3144960;0.047457;0.002252;26.474049;53.155069;0.026180;0.000685;31.640640;39.075809;
Apartment.hdr;8;YCbC;4193280;0.049216;0.002422;26.157896;51.316976;0.027003;0.000729;31.371649;47.158190;
Apartment.hdr;10;YCbC;5241600;0.049658;0.002466;26.080286;51.876897;0.027177;0.000739;31.315990;47.058097;
Apartment.hdr;4;HCL;2096640;0.046916;0.002201;26.573638;56.082648;0.031057;0.000965;30.156936;50.612616;
Apartment.hdr;6;HCL;3144960;0.042791;0.001831;27.373008;38.920057;0.030126;0.000908;30.421261;38.077495;
Apartment.hdr;8;HCL;4193280;0.042863;0.001837;27.358326;39.395374;0.029880;0.000893;30.492397;36.989631;
Apartment.hdr;10;HCL;5241600;0.042882;0.001839;27.354521;39.448495;0.029831;0.000890;30.506562;36.707811;
Apartment.hdr;4;Lab;2096640;0.058780;0.003455;24.615470;73.335888;0.035636;0.001270;28.962177;73.035648;
Apartment.hdr;6;Lab;3144960;0.062073;0.003853;24.142011;185.872661;0.039461;0.001557;28.076653;77.667019;
Apartment.hdr;8;Lab;4193280;0.064120;0.004111;23.860062;215.608951;0.040414;0.001633;27.869410;79.979555;
Apartment.hdr;10;Lab;5241600;0.064653;0.004180;23.788225;223.308372;0.040650;0.001652;27.818839;80.580062;
Apartment.hdr;4;Luv;2096640;0.081550;0.006650;21.771574;88.175260;0.038244;0.001463;28.348735;74.289000;
Apartment.hdr;6;Luv;3144960;0.077574;0.006018;22.205685;69.138039;0.037925;0.001438;28.421511;82.800252;
Apartment.hdr;8;Luv;4193280;0.079386;0.006302;22.005133;68.210665;0.038042;0.001447;28.394739;91.496902;
Apartment.hdr;10;Luv;5241600;0.079487;0.006318;21.994067;69.358982;0.038081;0.001450;28.385736;92.492828;
Apartment.hdr;4;RGB;2096640;0.090846;0.008253;20.833894;48.373022;0.057052;0.003255;24.874513;65.203279;
Apartment.hdr;6;RGB;3144960;0.093315;0.008708;20.601009;44.581242;0.058071;0.003372;24.720886;61.149389;
Apartment.hdr;8;RGB;4193280;0.093912;0.008820;20.545536;42.267676;0.058338;0.003403;24.680952;60.442409;
Apartment.hdr;10;RGB;5241600;0.094060;0.008847;20.531920;41.882973;0.058405;0.003411;24.670940;60.243401;
Apartment.hdr;4;sRGB;2096640;0.074091;0.005489;22.604683;40.732979;0.058093;0.003375;24.717509;62.988040;
Apartment.hdr;6;sRGB;3144960;0.071842;0.005161;22.872438;45.580216;0.057173;0.003269;24.856110;63.362881;
Apartment.hdr;8;sRGB;4193280;0.071331;0.005088;22.934439;59.657642;0.056967;0.003245;24.887533;59.968008;
Apartment.hdr;10;sRGB;5241600;0.071207;0.005070;22.949532;50.165741;0.056918;0.003240;24.895066;64.191494;
Apartment.hdr;4;XYZ;2096640;0.081370;0.006621;21.790666;38.032608;0.079577;0.006333;21.984200;58.817149;
Apartment.hdr;6;XYZ;3144960;0.078842;0.006216;22.064885;38.570699;0.080186;0.006430;21.917982;55.649203;
Apartment.hdr;8;XYZ;4193280;0.078252;0.006123;22.130119;37.575540;0.080354;0.006457;21.899836;57.861315;
Apartment.hdr;10;XYZ;5241600;0.078105;0.006100;22.146465;36.595660;0.080346;0.006455;21.900715;55.894675;
Apartment.hdr;4;YCC;2096640;0.135971;0.018488;17.331082;52.162447;0.106408;0.011323;19.460523;59.919262;
Apartment.hdr;6;YCC;3144960;0.234259;0.054877;12.606061;78.094557;0.137494;0.018905;17.234326;68.205285;
Apartment.hdr;8;YCC;4193280;0.342556;0.117344;9.305378;86.738439;0.171066;0.029263;15.336742;106.493905;
Apartment.hdr;10;YCC;5241600;0.368232;0.135595;8.677575;98.494428;0.184013;0.033861;14.703036;114.382906;
Apartment.hdr;4;YPbPr;2096640;0.355921;0.126680;8.972936;124.851635;0.180816;0.032694;14.855277;107.637484;
Apartment.hdr;6;YPbPr;3144960;0.351826;0.123781;9.073452;104.952602;0.179505;0.032222;14.918472;92.859450;
Apartment.hdr;8;YPbPr;4193280;0.349951;0.122466;9.119853;108.683258;0.179065;0.032064;14.939778;113.977635;
Apartment.hdr;10;YPbPr;5241600;0.349907;0.122435;9.120957;109.667803;0.179045;0.032057;14.940737;113.905067;
Apartment.hdr;4;YUV;2096640;0.328334;0.107803;9.673684;98.446887;0.173983;0.030270;15.189884;102.039947;
Apartment.hdr;6;YUV;3144960;0.324197;0.105104;9.783812;99.164598;0.173012;0.029933;15.238453;110.989583;
Apartment.hdr;8;YUV;4193280;0.323323;0.104538;9.807264;98.624730;0.172823;0.029868;15.247954;86.486732;
Apartment.hdr;10;YUV;5241600;0.323301;0.104524;9.807848;99.726131;0.172803;0.029861;15.248984;107.712086;
Atrium.hdr;32;RGB(A);3088716;;;;;;;;;
Atrium.hdr;4;CMYK;1544320;0.011901;0.000142;38.488551;0.835797;0.012638;0.000160;37.966746;0.238810;
Atrium.hdr;6;CMYK;2316480;0.012227;0.000150;38.253580;0.644954;0.012822;0.000164;37.840838;0.711559;
Atrium.hdr;8;CMYK;3088640;0.012390;0.000154;38.138566;0.735955;0.012957;0.000168;37.749651;1.053755;
Atrium.hdr;10;CMYK;3860800;0.012435;0.000155;38.107323;0.849915;0.012995;0.000169;37.724173;1.200071;
Atrium.hdr;4;YCbC;1158240;0.024915;0.000621;32.070940;68.063293;0.025253;0.000638;31.953652;67.108585;
Atrium.hdr;6;YCbC;1737360;0.028495;0.000812;30.904591;78.769298;0.029664;0.000880;30.555482;82.357378;
Atrium.hdr;8;YCbC;2316480;0.029528;0.000872;30.595407;81.112479;0.030765;0.000946;30.238891;83.853787;
Atrium.hdr;10;YCbC;2895600;0.029788;0.000887;30.519257;81.703347;0.031038;0.000963;30.162209;84.416739;
Atrium.hdr;4;HCL;1158240;0.031405;0.000986;30.060144;106.987196;0.034431;0.001185;29.261064;118.952734;
Atrium.hdr;6;HCL;1737360;0.030334;0.000920;30.361450;98.556513;0.033257;0.001106;29.562347;115.882102;
Atrium.hdr;8;HCL;2316480;0.030187;0.000911;30.403640;97.626444;0.032993;0.001089;29.631569;109.144439;
Atrium.hdr;10;HCL;2895600;0.030151;0.000909;30.413982;97.438944;0.032938;0.001085;29.645953;107.286971;
Atrium.hdr;4;Lab;1158240;0.037654;0.001418;28.483875;40.861630;0.038131;0.001454;28.374410;45.840291;
Atrium.hdr;6;Lab;1737360;0.041404;0.001714;27.659257;50.543931;0.041396;0.001714;27.660754;53.757835;
Atrium.hdr;8;Lab;2316480;0.042448;0.001802;27.442821;53.669282;0.042232;0.001784;27.487097;56.413227;
Atrium.hdr;10;Lab;2895600;0.042708;0.001824;27.389735;54.475676;0.042441;0.001801;27.444382;57.104824;
Atrium.hdr;4;Luv;1158240;0.049358;0.002436;26.132889;74.268050;0.043018;0.001851;27.327003;76.354154;
Atrium.hdr;6;Luv;1737360;0.047900;0.002294;26.393350;79.995208;0.043455;0.001888;27.239110;87.385862;
Atrium.hdr;8;Luv;2316480;0.047807;0.002286;26.410182;93.987158;0.043654;0.001906;27.199520;83.230018;
Atrium.hdr;10;Luv;2895600;0.047764;0.002281;26.417922;84.866530;0.043711;0.001911;27.188104;83.043396;
Atrium.hdr;4;RGB;1158240;0.052124;0.002717;25.659224;87.358458;0.067408;0.004544;23.425780;108.561126;
Atrium.hdr;6;RGB;1737360;0.052412;0.002747;25.611386;95.695834;0.067151;0.004509;23.459006;101.205290;
Atrium.hdr;8;RGB;2316480;0.052518;0.002758;25.593845;95.447608;0.067126;0.004506;23.462174;101.068801;
Atrium.hdr;10;RGB;2895600;0.052546;0.002761;25.589191;95.588897;0.067121;0.004505;23.462834;106.144327;
Atrium.hdr;4;sRGB;1158240;0.053775;0.002892;25.388444;92.322247;0.066990;0.004488;23.479854;106.611568;
Atrium.hdr;6;sRGB;1737360;0.053315;0.002843;25.462936;90.858282;0.066809;0.004463;23.503331;103.073805;
Atrium.hdr;8;sRGB;2316480;0.053225;0.002833;25.477650;90.566040;0.066779;0.004459;23.507169;103.936093;
Atrium.hdr;10;sRGB;2895600;0.053204;0.002831;25.481083;90.502179;0.066774;0.004459;23.507790;102.315174;
Atrium.hdr;4;XYZ;1158240;0.069143;0.004781;23.205085;134.973101;0.080919;0.006548;21.838987;136.194607;
Atrium.hdr;6;XYZ;1737360;0.067976;0.004621;23.352850;135.205504;0.079277;0.006285;22.017063;137.437116;
Atrium.hdr;8;XYZ;2316480;0.067619;0.004572;23.398683;138.760368;0.079196;0.006272;22.025941;133.797569;
Atrium.hdr;10;XYZ;2895600;0.067527;0.004560;23.410482;138.765975;0.079065;0.006251;22.040264;133.942493;
Atrium.hdr;4;YCC;1158240;0.125884;0.015847;18.000570;178.657201;0.108998;0.011881;19.251615;170.825832;
Atrium.hdr;6;YCC;1737360;0.194038;0.037651;14.242276;228.298879;0.150307;0.022592;16.460442;216.536269;
Atrium.hdr;8;YCC;2316480;0.268977;0.072349;11.405690;267.846898;0.190658;0.036350;14.394900;256.854749;
Atrium.hdr;10;YCC;2895600;0.336059;0.112935;9.471698;280.165298;0.223277;0.049852;13.023134;277.469140;
Atrium.hdr;4;YPbPr;1158240;0.335713;0.112703;9.480633;279.749382;0.224065;0.050205;12.992501;274.855464;
Atrium.hdr;6;YPbPr;1737360;0.333486;0.111213;9.538450;281.865570;0.222655;0.049575;13.047336;272.816496;
Atrium.hdr;8;YPbPr;2316480;0.332724;0.110705;9.558316;281.363139;0.222344;0.049437;13.059481;270.583738;
Atrium.hdr;10;YPbPr;2895600;0.332779;0.110742;9.556873;281.602918;0.222375;0.049451;13.058267;270.562058;
Atrium.hdr;4;YUV;1158240;0.325477;0.105935;9.749602;272.531301;0.218947;0.047938;13.193201;264.399965;
Atrium.hdr;6;YUV;1737360;0.323565;0.104694;9.800772;274.945086;0.218377;0.047688;13.215882;263.846434;
Atrium.hdr;8;YUV;2316480;0.323495;0.104649;9.802651;274.951681;0.218296;0.047653;13.219096;266.103714;
Atrium.hdr;10;YUV;2895600;0.323500;0.104652;9.802515;273.042998;0.218273;0.047643;13.220008;264.191951;
Belgium.hdr;32;RGB(A);3152976;;;;;;;;;
Belgium.hdr;4;CMYK;1576448;0.015677;0.000246;36.094548;0.204713;0.011607;0.000135;38.705954;0.189499;
Belgium.hdr;6;CMYK;2364672;0.016032;0.000257;35.900424;0.111253;0.011758;0.000138;38.593203;0.286135;
Belgium.hdr;8;CMYK;3152900;0.016233;0.000264;35.792117;0.223258;0.011871;0.000141;38.510173;0.219836;
Belgium.hdr;10;CMYK;3941124;0.016289;0.000265;35.762205;0.295458;0.011903;0.000142;38.487020;0.222734;
Belgium.hdr;4;YCbC;1182337;0.035598;0.001267;28.971500;15.290119;0.021284;0.000453;33.438943;16.466616;
Belgium.hdr;6;YCbC;1773506;0.037117;0.001378;28.608590;22.982319;0.022522;0.000507;32.947847;24.175256;
Belgium.hdr;8;YCbC;2364675;0.038186;0.001458;28.361859;26.364719;0.022929;0.000526;32.792292;27.332348;
Belgium.hdr;10;YCbC;2955843;0.038460;0.001479;28.299862;27.161791;0.023029;0.000530;32.754456;27.931842;
Belgium.hdr;4;HCL;1182337;0.037195;0.001383;28.590408;28.859197;0.024549;0.000603;32.199224;29.000577;
Belgium.hdr;6;HCL;1773506;0.035108;0.001233;29.091951;23.886236;0.024078;0.000580;32.367569;24.772352;
Belgium.hdr;8;HCL;2364675;0.035100;0.001232;29.093896;23.014628;0.023911;0.000572;32.427983;24.351288;
Belgium.hdr;10;HCL;2955843;0.035099;0.001232;29.094208;22.824994;0.024019;0.000577;32.388889;29.993032;
Belgium.hdr;4;Lab;1182337;0.046908;0.002200;26.575101;38.187703;0.031085;0.000966;30.148987;59.090797;
Belgium.hdr;6;Lab;1773506;0.050492;0.002549;25.935528;40.137017;0.033340;0.001112;29.540564;76.875119;
Belgium.hdr;8;Lab;2364675;0.052049;0.002709;25.671795;41.712557;0.033981;0.001155;29.375235;82.501285;
Belgium.hdr;10;Lab;2955843;0.052435;0.002749;25.607616;42.361865;0.034144;0.001166;29.333761;84.732987;
Belgium.hdr;4;Luv;1182337;0.068576;0.004703;23.276563;81.675787;0.035825;0.001283;28.916203;99.096711;
Belgium.hdr;6;Luv;1773506;0.065771;0.004326;23.639349;61.431902;0.035536;0.001263;28.986674;76.551381;
Belgium.hdr;8;Luv;2364675;0.066477;0.004419;23.546544;61.600365;0.035621;0.001269;28.965790;70.068498;
Belgium.hdr;10;Luv;2955843;0.066490;0.004421;23.544918;60.089818;0.035653;0.001271;28.958102;71.720175;
Belgium.hdr;4;RGB;1182337;0.072617;0.005273;22.779188;35.732956;0.053133;0.002823;25.492653;37.796812;
Belgium.hdr;6;RGB;1773506;0.074268;0.005516;22.583939;39.891448;0.053908;0.002906;25.367016;34.889283;
Belgium.hdr;8;RGB;2364675;0.074681;0.005577;22.535833;39.699255;0.054131;0.002930;25.331039;34.418353;
Belgium.hdr;10;RGB;2955843;0.074783;0.005593;22.523938;38.720818;0.054188;0.002936;25.321880;34.308593;
Belgium.hdr;4;sRGB;1182337;0.068230;0.004655;23.320532;37.255653;0.055497;0.003080;25.114566;55.315148;
Belgium.hdr;6;sRGB;1773506;0.067334;0.004534;23.435281;36.217188;0.055054;0.003031;25.184184;56.734484;
Belgium.hdr;8;sRGB;2364675;0.067148;0.004509;23.459392;36.112348;0.054963;0.003021;25.198582;64.502668;
Belgium.hdr;10;sRGB;2955843;0.067103;0.004503;23.465108;36.099125;0.054942;0.003019;25.201853;49.280162;
Belgium.hdr;4;XYZ;1182337;0.071668;0.005136;22.893495;25.043410;0.060284;0.003634;24.395930;31.150627;
Belgium.hdr;6;XYZ;1773506;0.071159;0.005064;22.955427;19.754248;0.058059;0.003371;24.722636;25.783202;
Belgium.hdr;8;XYZ;2364675;0.071156;0.005063;22.955741;20.271570;0.058265;0.003395;24.691817;26.811485;
Belgium.hdr;10;XYZ;2955843;0.071166;0.005065;22.954550;20.330058;0.058296;0.003398;24.687270;26.873091;
Belgium.hdr;4;YCC;1182337;0.107042;0.011458;19.408908;61.762095;0.071327;0.005087;22.934975;59.152312;
Belgium.hdr;6;YCC;1773506;0.140967;0.019872;17.017620;98.653491;0.094345;0.008901;20.505642;98.553722;
Belgium.hdr;8;YCC;2364675;0.182689;0.033375;14.765768;83.879436;0.118771;0.014107;18.505771;107.727133;
Belgium.hdr;10;YCC;2955843;0.231936;0.053794;12.692633;125.981551;0.148897;0.022170;16.542261;133.303032;
Belgium.hdr;4;YPbPr;1182337;0.235454;0.055439;12.561870;140.699949;0.149791;0.022437;16.490296;129.898323;
Belgium.hdr;6;YPbPr;1773506;0.234869;0.055163;12.583500;160.264548;0.149069;0.022222;16.532232;139.503572;
Belgium.hdr;8;YPbPr;2364675;0.234783;0.055123;12.586676;137.904277;0.148926;0.022179;16.540595;152.945287;
Belgium.hdr;10;YPbPr;2955843;0.234762;0.055113;12.587441;138.518423;0.148948;0.022185;16.539335;148.707175;
Belgium.hdr;4;YUV;1182337;0.238089;0.056686;12.465215;135.589424;0.148103;0.021934;16.588725;133.367690;
Belgium.hdr;6;YUV;1773506;0.237193;0.056260;12.497968;140.114997;0.147641;0.021798;16.615871;148.343107;
Belgium.hdr;8;YUV;2364675;0.237494;0.056403;12.486950;165.472764;0.147618;0.021791;16.617216;139.657917;
Belgium.hdr;10;YUV;2955843;0.237509;0.056411;12.486386;135.923653;0.147589;0.021782;16.618924;137.718050;
BigFog.hdr;32;RGB(A);3244396;;;;;;;;;
BigFog.hdr;4;CMYK;1622160;0.012405;0.000154;38.128337;0.265581;0.012328;0.000152;38.182179;0.220127;
BigFog.hdr;6;CMYK;2433240;0.013038;0.000170;37.695749;0.709934;0.013086;0.000171;37.663555;0.754896;
BigFog.hdr;8;CMYK;3244320;0.013281;0.000176;37.535193;0.706942;0.013370;0.000179;37.477210;1.086172;
BigFog.hdr;10;CMYK;4055400;0.013346;0.000178;37.492788;0.744373;0.013445;0.000181;37.428983;1.185015;
BigFog.hdr;4;YCbC;1216620;0.025307;0.000640;31.935277;52.564187;0.022657;0.000513;32.895852;57.027351;
BigFog.hdr;6;YCbC;1824930;0.027579;0.000761;31.188390;86.343326;0.025279;0.000639;31.944902;82.488589;
BigFog.hdr;8;YCbC;2433240;0.028321;0.000802;30.957794;65.216750;0.025944;0.000673;31.719263;68.489991;
BigFog.hdr;10;YCbC;3041550;0.028515;0.000813;30.898576;64.868997;0.026118;0.000682;31.661040;68.520731;
BigFog.hdr;4;HCL;1216620;0.028628;0.000820;30.864051;78.072503;0.026312;0.000692;31.596968;79.730723;
BigFog.hdr;6;HCL;1824930;0.029239;0.000855;30.680850;70.105806;0.026446;0.000699;31.552963;73.590247;
BigFog.hdr;8;HCL;2433240;0.029468;0.000868;30.612887;68.985374;0.026534;0.000704;31.523982;72.696104;
BigFog.hdr;10;HCL;3041550;0.029524;0.000872;30.596573;68.695265;0.026559;0.000705;31.515833;72.573602;
BigFog.hdr;4;Lab;1216620;0.035406;0.001254;29.018371;69.967678;0.028283;0.000800;30.969392;69.644101;
BigFog.hdr;6;Lab;1824930;0.039558;0.001565;28.055212;86.782187;0.031470;0.000990;30.041932;83.182062;
BigFog.hdr;8;Lab;2433240;0.040706;0.001657;27.806765;89.078126;0.032324;0.001045;29.809470;85.923742;
BigFog.hdr;10;Lab;3041550;0.040991;0.001680;27.746265;89.957864;0.032538;0.001059;29.752101;86.603503;
BigFog.hdr;4;Luv;1216620;0.047921;0.002296;26.389414;8.522710;0.030938;0.000957;30.190056;8.467412;
BigFog.hdr;6;Luv;1824930;0.046099;0.002125;26.726197;36.973347;0.029753;0.000885;30.529321;9.140805;
BigFog.hdr;8;Luv;2433240;0.045941;0.002111;26.755963;31.014613;0.029606;0.000877;30.572401;29.117994;
BigFog.hdr;10;Luv;3041550;0.045878;0.002105;26.767816;29.294688;0.029578;0.000875;30.580560;27.593413;
